Rank,City,Population
328,New Lebanon,"4,000"
329,Fruit Hill and Chagrin Falls,"3,963"
330,Montpelier,"3,945"
331,Greentown,"3,893"
332,South Point,"3,870"
333,Swanton,"3,855"
334,Mogadore,"3,836"
335,Amberley,"3,786"
336,South Russell,"3,773"
337,Mulberry,"3,761"
338,Newcomerstown,"3,751"
339,Mineral Ridge,"3,748"
340,Yellow Springs,"3,702"
341,Wintersville,"3,693"
342,Northfield,"3,671"
343,Mount Gilead,"3,661"
344,Calcutta,"3,657"
345,Oakwood,"3,655"
346,Richfield,"3,646"
347,Mount Healthy Heights,"3,635"
348,Minerva,"3,615"
349,Greenhills,"3,593"
350,Shadyside,"3,572"
351,Carey,"3,566"
352,Gallipolis,"3,564"
353,North Baltimore,"3,543"
354,Golf Manor,"3,526"
355,Mount Orab,"3,479"
356,Dillonvale,"3,477"
357,Ross,"3,466"
358,Mariemont,"3,464"
359,Lockland,"3,455"
360,Four Bridges,"3,450"
361,Hicksville,"3,448"
362,Paulding,"3,445"
363,Cleves,"3,427"
364,Sherwood CDP,"3,424"
365,Lake Lakengren,"3,422"
366,Brimfield,"3,371"
367,Mayfield,"3,361"
368,Woodlawn,"3,341"
369,Lincoln Heights,"3,331"
370,Wellsville,"3,330"
371,Uniontown,"3,319"
372,Moreland Hills and Taylor Creek,"3,305"
373,Orange,"3,278"
374,Lordstown,"3,266"
375,Richville,"3,234"
376,Mingo Junction,"3,229"
377,Cadiz,"3,200"
378,Millersburg,"3,189"
379,Madison,"3,170"
380,West Union,"3,163"
381,Walbridge,"3,138"
382,Waynesville,"3,136"
383,Delshire and Beechwood Trails,"3,135"
384,Salem Heights,"3,132"
385,Delta,"3,117"
386,Doylestown,"3,084"
387,Lakemore,"3,081"
388,Fairport Harbor,"3,079"
389,McDonald,"3,063"
390,Hartville,"3,056"
391,Carrollton,"3,055"
392,Sixteen Mile Stand,"3,036"
393,Baltimore,"2,995"
394,Jefferson,"2,994"
395,The Plains and Bainbridge,"2,983"
396,New Bremen,"2,980"
397,West Portsmouth,"2,895"
398,Lodi,"2,884"
399,Day Heights,"2,855"
400,Buckeye Lake,"2,851"
401,Evendale,"2,840"
402,Minster,"2,820"
403,North Kingsville,"2,800"
404,Bethel,"2,798"
405,Ballville,"2,771"
406,Burlington,"2,760"
407,Oak Harbor,"2,732"
408,North Zanesville,"2,718"
409,Middlefield,"2,710"
410,New Richmond,"2,688"
411,Covington,"2,683"
412,Strasburg,"2,682"
413,Lisbon,"2,668"
414,Newtown,"2,664"
415,Loudonville,"2,630"
416,Dry Ridge,"2,607"
417,Dennison,"2,602"
418,Devola,"2,589"
419,Versailles,"2,576"
420,Wright-Patterson AFB,"2,574"
421,Williamsburg,"2,559"
422,Sabina,"2,545"
423,St. Henry,"2,540"
424,Green Meadows,"2,529"
425,Fredericktown,"2,515"
426,Gibsonburg,"2,511"
427,Silver Lake,"2,500"
428,Crooksville,"2,482"
429,Hebron,"2,469"
430,Gambier,"2,458"
431,Middleport,"2,444"
432,Poland,"2,434"
433,Richwood,"2,424"
434,Seville,"2,413"
435,Enon,"2,386"
436,Hunter,"2,384"
437,Skyline Acres,"2,383"
438,New London,"2,378"
439,New Miami,"2,364"
440,Byesville,"2,362"
441,LaGrange,"2,359"
442,Garrettsville,"2,329"
443,West Lafayette,"2,312"
444,Shawnee Hills CDP,"2,305"
445,Terrace Park,"2,297"
446,Genoa,"2,289"
447,Walton Hills,"2,285"
448,Wilberforce,"2,244"
449,Utica,"2,241"
450,Woodsfield,"2,236"
451,Gates Mills,"2,235"
452,Sugarcreek,"2,220"
453,Bolindale,"2,217"
454,Centerburg,"2,214"
455,Windham,"2,211"
456,New Concord,"2,209"
457,Elmwood Place,"2,198"
458,Creston,"2,193"
459,Glendale,"2,182"
460,Spencerville,"2,167"
461,Brewster,"2,159"
462,Piketon,"2,157"
463,Jamestown,"2,125"
464,New Boston,"2,112"
465,South Zanesville,"2,086"
466,Coal Grove,"2,083"
467,Columbus Grove,"2,071"
468,Rosemount and Newburgh Heights,"2,068"
469,Churchill,"2,060"
470,Cardington,"2,055"
471,Glenmoor,"2,041"
472,Chesterland,"2,037"
473,Woodville,"2,033"
474,Masury,"2,032"
475,Leipsic,"2,025"
476,Arcanum,"2,017"
477,Valley View,"2,005"
478,St. Paris,"2,003"
479,Edgerton,"1,997"
480,Camden,"1,983"
481,South Bloomfield,"1,974"
482,Manchester,"1,962"
483,New California,"1,951"
484,West Hill,"1,944"
485,Bellville,"1,897"
486,Bradford,"1,867"
487,Navarre and Dalton,"1,854"
488,Leetonia,"1,851"
489,Brilliant,"1,846"
490,Roseville,"1,836"
491,Five Points,"1,830"
492,Elida,"1,810"
493,Plymouth,"1,809"
494,Drexel,"1,804"
495,Cridersville,"1,800"
496,Glouster,"1,795"
497,West Liberty and Mount Sterling,"1,788"
498,Pomeroy,"1,783"
499,Dunlap and Pleasant Grove,"1,763"
500,McConnelsville,"1,762"
501,Lewisburg,"1,753"
502,Bridgeport,"1,751"
503,Rossmoyne,"1,749"
504,Peebles,"1,732"
505,Deshler,"1,725"
506,Fairfax,"1,708"
507,Lake Mohawk,"1,707"
508,Ripley,"1,701"
509,Caldwell,"1,699"
510,Curtice,"1,695"
511,Dresden,"1,693"
512,Lithopolis,"1,688"
513,Antwerp,"1,685"
514,South Amherst,"1,682"
515,Commercial Point and Batavia,"1,674"
516,West Unity,"1,666"
517,Harbor Hills,"1,659"
518,McArthur,"1,658"
519,Holland and Weston,"1,647"
520,McComb,"1,644"
521,Perry,"1,629"
522,Loveland Park,"1,624"
523,South Charleston,"1,620"
524,Aberdeen,"1,608"
525,Union City,"1,599"
526,Orwell,"1,594"
527,Mechanicsburg,"1,586"
528,Kalida,"1,582"
529,East Canton,"1,580"
530,New Paris,"1,577"
531,Ashley,"1,573"
532,New Middletown,"1,564"
533,Grandview,"1,535"
534,Powhatan Point,"1,533"
535,Miamitown,"1,531"
536,Franklin Furnace,"1,525"
537,Anna,"1,523"
538,Oak Hill and Fort Loramie,"1,517"
539,Shreve,"1,516"
540,Brooklyn Heights,"1,512"
541,Leavittsburg,"1,488"
542,Choctaw Lake,"1,487"
543,Kings Mills,"1,483"
544,Lynchburg,"1,478"
545,West Salem,"1,474"
546,Jackson Center,"1,463"
547,"Brookfield Center, North Lewisburg, and Somerset","1,459"
548,Roaming Shores,"1,457"
549,Fort Recovery,"1,456"
550,Burton,"1,454"
551,Arlington,"1,451"
552,Lucasville,"1,443"
553,Bremen and Forest,"1,442"
554,Greenwich,"1,431"
555,Pemberville,"1,415"
